Date,Open,High,Low,Close,Adj Close,Volume
10/05/2022,149.199997,149.259995,143.639999,143.639999,137.635498,38652634
11/05/2022,144.5,148.259995,143.720001,147.300003,141.142517,120851388
12/05/2022,142.660004,147.199997,142.199997,145.940002,139.839355,40307444
13/05/2022,147.559998,150.544998,147,150.360001,144.0746,40300228
16/05/2022,150.600006,152.983002,148.940002,151.699997,145.358582,48063820
17/05/2022,152.380005,157.080002,152.179993,155.860001,149.344681,50124597
18/05/2022,157.020004,157.220001,154.320007,155.199997,148.712265,30534183
19/05/2022,155.279999,155.684998,151.199997,153.279999,146.872528,30700867
20/05/2022,155.660004,157.080002,152.720001,152.720001,146.335938,56300727
23/05/2022,155.240005,157.740005,153.410004,157.740005,151.146103,70822987
24/05/2022,157.440002,164.350006,157.210007,162.779999,155.975403,74921425
25/05/2022,164.539993,164.779999,162.018005,163.880005,157.029434,108468680
26/05/2022,163.820007,168.764008,163.320007,167.679993,160.670578,51023672
27/05/2022,167.380005,171.080002,166.429993,170.380005,163.257706,52394921
30/05/2022,170.539993,173.339996,170.119995,171.220001,164.062607,105182657
31/05/2022,170.139999,171.619995,168.919998,169.059998,161.992889,68320374
01/06/2022,171.179993,172.100998,167.479996,167.800003,160.785568,37314104
06/06/2022,168.339996,172.695999,168.080002,171.360001,164.196747,36572161
07/06/2022,169.179993,170.880005,167.621002,169,161.935394,44760521
08/06/2022,168.539993,169.658997,167.380005,168.559998,161.513794,42131882
09/06/2022,167.220001,169.639999,165.419998,165.919998,158.984146,41256650
10/06/2022,164.919998,165.759995,159.479996,159.800003,153.11998,54031382
13/06/2022,158.020004,159.214996,155.160004,156.080002,149.555481,59237518
14/06/2022,157.66,159.34,154.26,156.76,150.2071,63205077
15/06/2022,157.839996,163.410004,157.160004,160.759995,154.039841,52138059
16/06/2022,160.220001,160.300003,153.460007,153.639999,147.217484,60187717
17/06/2022,155.080002,159.020004,153.759995,155.919998,149.402176,62981976
20/06/2022,156.860001,161.25,156.020004,160.119995,153.426605,28154520
