Date,Open Price,Close Price,High Price,Low Price,Adj.Close Price,wrong Volume
10-May-22,7216.58,7243.22,7311.65,7216.58,7243.22,285482325
11-May-22,7243.22,7347.66,7349.7,7238.97,7347.66,283221789
12-May-22,7347.66,7233.34,7347.66,7158.53,7233.34,225911923
13-May-22,7233.34,7418.15,7421.95,7233.34,7418.15,198089223
16-May-22,7418.15,7464.8,7464.8,7361.72,7464.8,183524453
17-May-22,7464.8,7518.35,7538.68,7464.8,7518.35,164574627
18-May-22,7518.35,7438.09,7526.14,7438.09,7438.09,274192408
19-May-22,7438.09,7302.74,7438.09,7228.67,7302.74,367472497
20-May-22,7302.74,7389.98,7453.49,7302.74,7389.98,143042487
23-May-22,7389.98,7513.44,7513.44,7389.98,7513.44,153652513
24-May-22,7513.44,7484.35,7529.65,7434.46,7484.35,209869467
25-May-22,7484.35,7522.75,7546.41,7484.35,7522.75,136685508
26-May-22,7522.75,7564.92,7575.53,7512.45,7564.92,141324775
27-May-22,7564.92,7585.46,7597.64,7542.78,7585.46,115937021
30-May-22,7585.46,7600.06,7625.63,7576.37,7600.06,222809031
31-May-22,7600.06,7607.66,7648.26,7591.84,7607.66,210154728
01-Jun-22,7607.66,7532.95,7639.21,7529.23,7532.95,167384483
06-Jun-22,7532.95,7608.22,7646.66,7532.84,7608.22,116237977
07-Jun-22,7608.22,7598.93,7617.53,7570.67,7598.93,151939551
08-Jun-22,7598.93,7593,7616.22,7550.65,7593,233965670
09-Jun-22,7593,7476.21,7593,7472.29,7476.21,179885942
10-Jun-22,7476.21,7317.52,7476.21,7294.2,7317.52,189741358
13-Jun-22,7317.52,7205.81,7317.52,7174.02,7205.81,267597316
14-Jun-22,7205.81,7187.46,7271.85,7135.15,7187.46,207140046
15-Jun-22,7187.46,7273.41,7313.7,7186.5,7273.41,200365636
16-Jun-22,7273.41,7044.98,7273.41,7039.47,7044.98,356451945
17-Jun-22,7044.98,7016.25,7130.62,6998.17,7016.25,462801860
20-Jun-22,7016.25,7121.81,7129.64,7016.15,7121.81,178986967
21-Jun-22,7121.81,7152.05,7193.9,7119.25,7152.05,135749198
22-Jun-22,7152.05,7089.22,7152.05,7030.03,7089.22,364845777
23-Jun-22,7089.22,7020.45,7115.8,7014.19,7020.45,171396421
24-Jun-22,7020.45,7208.81,7211.07,7016.02,7208.81,154135548
27-Jun-22,7208.81,7258.32,7284.48,7208.52,7258.32,174288024
28-Jun-22,7258.32,7323.41,7362.37,7258.32,7323.41,144944851
29-Jun-22,7323.41,7312.32,7345.45,7263.54,7312.32,140907259
30-Jun-22,7312.32,7169.28,7312.32,7110.7,7169.28,202685856
01-Jul-22,7169.28,7168.65,7214.82,7101.38,7168.65,164077179
04-Jul-22,7168.65,7232.65,7258.46,7168.65,7232.65,121946765
05-Jul-22,7232.65,7025.47,7260.3,7016.78,7025.47,240981322
06-Jul-22,7025.47,7107.77,7198.72,7025.35,7107.77,236946426
07-Jul-22,7107.77,7189.08,7213.05,7107.77,7189.08,298265424
08-Jul-22,7189.08,7196.24,7210.58,7129.15,7196.24,186397848
11-Jul-22,7196.24,7196.59,7204.06,7097.42,7196.59,244353890
12-Jul-22,7196.59,7209.86,7216.9,7143.31,7209.86,286282528
13-Jul-22,7209.86,7156.37,7209.86,7104.06,7156.37,122084806
14-Jul-22,7156.37,7039.81,7157.62,7007.09,7039.81,160376313
15-Jul-22,7039.81,7159.01,7167.85,7038.15,7159.01,198862299
18-Jul-22,7159.01,7223.24,7268.88,7159.01,7223.24,133752465
19-Jul-22,7223.24,7296.28,7308.99,7174.4,7296.28,162523267
20-Jul-22,7296.28,7264.31,7347.6,7253.56,7264.31,280399425
21-Jul-22,7264.31,7270.51,7274.73,7200.14,7270.51,171479713
22-Jul-22,7270.51,7276.37,7315.34,7254.02,7276.37,105003022
25-Jul-22,7276.37,7306.3,7309.65,7242.9,7306.3,347369205
26-Jul-22,7306.3,7306.28,7365.37,7301.19,7306.28,121457791
27-Jul-22,7306.28,7348.23,7365.22,7306.28,7348.23,430832156
28-Jul-22,7348.23,7345.25,7396.2,7308.99,7345.25,146966969
29-Jul-22,7345.25,7423.43,7441.2,7345.25,7423.43,171585264
01-Aug-22,7450.24,7413.42,7471.87,7408.94,7413.42,92978858
02-Aug-22,7413.42,7409.11,7433.34,7386.76,7409.11,466951554
03-Aug-22,7409.11,7445.68,7445.9,7372.71,7445.68,279571303
04-Aug-22,7445.68,7448.06,7491.74,7417.49,7448.06,278450384
05-Aug-22,7448.06,7439.74,7470.63,7420.16,7439.74,156912354
08-Aug-22,7439.74,7482.37,7513.76,7439.74,7482.37,166802613
09-Aug-22,7482.37,7488.15,7504.64,7475.04,7488.15,101392930
10-Aug-22,7488.15,7507.11,7520.72,7468.64,7507.11,100816356
11-Aug-22,7507.11,7465.91,7515,7460.11,7465.91,91697725
12-Aug-22,7465.91,7500.89,7516.83,7464.12,7500.89,90989004
15-Aug-22,7500.89,7509.15,7539.21,7463.51,7509.15,85931463
16-Aug-22,7509.15,7536.06,7563.67,7509.15,7536.06,87539860
17-Aug-22,7536.06,7515.75,7554.04,7501.54,7515.75,79019125
18-Aug-22,7515.75,7541.85,7541.89,7493.66,7541.85,158308286
19-Aug-22,7541.85,7550.37,7578.85,7513.26,7550.37,171102566
22-Aug-22,7550.37,7533.79,7550.41,7491.26,7533.79,127196550
23-Aug-22,7533.79,7488.11,7533.79,7467.56,7488.11,123505002
24-Aug-22,7488.11,7471.51,7488.12,7410.4,7471.51,121580935
25-Aug-22,7471.51,7479.74,7535.7,7469.17,7479.74,109529064
26-Aug-22,7479.74,7427.31,7530.65,7422.02,7427.31,256994629
30-Aug-22,7427.31,7361.63,7486.4,7351.12,7361.63,254222677
31-Aug-22,7361.63,7284.15,7378.44,7263.62,7284.15,315293103
