Date,Open,High,Low,Close,Adj Close,Volume
2022-05-10,499.850006,502.799988,495.700012,495.700012,466.495331,22181402
2022-05-11,498.299988,503.600006,494.000000,499.450012,470.024353,49916373
2022-05-12,491.000000,491.700012,477.950012,483.399994,454.919952,36686103
2022-05-13,492.450012,501.399994,492.450012,501.399994,471.859467,48084577
2022-05-16,496.399994,503.399994,495.450012,498.549988,469.177399,20455046
2022-05-17,499.750000,504.899994,496.649994,502.399994,472.800568,28301054
2022-05-18,498.649994,499.399994,493.649994,495.500000,466.307098,49059172
2022-05-19,493.950012,495.350006,484.100006,485.899994,457.272675,36961812
2022-05-20,496.000000,500.899994,490.649994,490.750000,461.836945,38422967
2022-05-23,493.700012,501.000000,490.850006,501.000000,471.483032,37160656
2022-05-24,497.899994,522.200012,494.750000,518.900024,488.328491,69815063
2022-05-25,521.599976,524.700012,517.299988,521.299988,490.587067,41656525
2022-05-26,517.799988,526.000000,516.799988,525.299988,494.351379,21981132
2022-05-27,524.200012,534.200012,521.500000,532.400024,501.033112,22322780
2022-05-30,532.799988,533.000000,526.000000,528.599976,497.456970,21786919
2022-05-31,525.200012,534.799988,523.700012,533.000000,501.597778,98756041
2022-06-01,534.000000,536.799988,528.299988,529.599976,498.398010,41941708
2022-06-06,530.700012,538.799988,529.299988,533.500000,502.068268,51595327
2022-06-07,528.900024,533.500000,527.500000,529.299988,498.115723,21263058
2022-06-08,523.099976,526.000000,517.000000,520.200012,489.551880,25291277
2022-06-09,516.599976,520.500000,510.899994,511.799988,481.646759,36643147
2022-06-10,511.000000,512.669983,497.799988,499.100006,469.695007,24271324
2022-06-13,507.000000,508.200012,499.600006,502.899994,473.271088,46714611
2022-06-14,515.500000,523.200012,512.250000,520.400024,489.740112,45899669
2022-06-15,525.000000,537.299988,524.924011,530.599976,499.339142,100899252
2022-06-16,528.200012,531.500000,510.500000,511.600006,481.458527,73852136
2022-06-17,517.400024,524.200012,507.399994,508.700012,478.729401,80376964
2022-06-20,512.500000,542.250000,511.299988,537.500000,505.832611,46212984
2022-06-21,533.000000,545.700012,531.799988,538.799988,507.056061,31728545
2022-06-22,532.000000,537.700012,529.700012,533.599976,502.162354,53508538
